# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	2558
#@/user_id	lin
a 	啊	c=21 d=1.32598 t=2558
a ha ha ha 	啊哈哈哈	c=1 d=1 t=754
ai 	╮(╯▽╰)╭	c=4 d=2.00126 t=1807
ai ai 	艾艾	c=1 d=0.238115 t=2558
an 	安	c=1 d=0.414783 t=2558
an 	按	c=1 d=1 t=772
an jing 	安靜	c=1 d=1 t=2346
an li shuo 	按理說	c=1 d=1 t=846
ba 	吧	c=3 d=2.09748 t=1580
ba 	把	c=3 d=1.85264 t=2001
ban 	搬	c=1 d=0.588605 t=2558
ban 	版	c=1 d=1 t=574
ban 	辦	c=0 d=0.0582748 t=2558
ban wa gong 	辦瓦工	c=1 d=0.585669 t=2558
ban zhuan 	板磚	c=1 d=1 t=1375
bang 	棒	c=1 d=1 t=1727
bang ni 	幫你	c=1 d=1 t=2484
bao 	包	c=1 d=1 t=966
bao cun 	保存	c=1 d=1 t=449
bao liu 	保留	c=3 d=2.87497 t=2219
bao zheng 	保證	c=1 d=1 t=2227
bei 	被	c=4 d=1.25741 t=2118
bei fen 	備份	c=1 d=1 t=2380
bei fu 	背負	c=1 d=1 t=2435
bei hou 	背後	c=1 d=1 t=2052
bei jing 	北京	c=2 d=0.425283 t=2558
ben 	本	c=1 d=0.25284 t=2558
ben lai 	本來	c=1 d=0.346456 t=2558
bi 	比	c=3 d=1.02818 t=2558
bi jiao 	比較	c=3 d=0.900567 t=2558
bi qi lai 	比起來	c=1 d=0.904837 t=2558
bi ru 	比如	c=3 d=1.48432 t=1627
bi shi 	筆試	c=3 d=2.11664 t=1584
bi shi ti 	筆試題	c=1 d=1 t=1479
bi xu 	必須	c=1 d=1 t=2226
bian 	變	c=1 d=1 t=1914
bian hua 	變化	c=1 d=1 t=1925
bian li 	遍歷	c=2 d=1.99501 t=1044
bian ma 	編碼	c=8 d=1.99469 t=2279
bian yi 	編譯	c=3 d=0.22313 t=2558
biao 	表	c=2 d=1.95148 t=2194
biao dian 	標點	c=1 d=1 t=709
biao mian 	表面	c=1 d=1 t=2140
biao zhun 	標準	c=1 d=1 t=1459
bie 	別	c=3 d=0.790909 t=2558
bing 	並	c=1 d=0.168638 t=2558
bing bu 	並不	c=0 d=0.1 t=1753
bing bu jue de 	並不覺得	c=1 d=1 t=1754
bing mei 	並沒	c=1 d=1 t=2440
bing mei you 	並沒有	c=1 d=1 t=1737
bing qie 	並且	c=2 d=1.14515 t=2409
bu 	不	c=6 d=1.08847 t=2558
bu bi yao 	不必要	c=1 d=1 t=615
bu chu 	不出	c=1 d=1 t=1768
bu cuo 	不錯	c=1 d=1 t=1958
bu da 	不大	c=1 d=1 t=2443
bu dao 	不到	c=1 d=1 t=1441
bu de bu 	不得不	c=0 d=0.1 t=1675
bu de bu shuo 	不得不說	c=1 d=1 t=1676
bu di 	不敵	c=1 d=0.97531 t=2558
bu fen 	部分	c=1 d=1 t=1226
bu fu he 	不符合	c=3 d=1.1514 t=1425
bu gan 	不敢	c=1 d=1 t=1110
bu guo 	不過	c=2 d=1.00291 t=1955
bu hao 	不好	c=4 d=1.06377 t=2317
bu hao yi si 	不好意思	c=1 d=1 t=679
bu he ge 	不合格	c=1 d=1 t=1427
bu hui 	不會	c=2 d=0.20089 t=2558
bu ke neng 	不可能	c=1 d=1 t=2064
bu kuai 	不快	c=1 d=1 t=1123
bu li zhi 	不理智	c=1 d=1 t=1804
bu liao 	不了	c=2 d=1.82696 t=957
bu neng 	不能	c=6 d=1.15202 t=2230
bu qu 	不去	c=1 d=0.436049 t=2558
bu ran 	不然	c=1 d=1 t=1573
bu shi 	不是	c=7 d=0.882497 t=2558
bu shi he 	不適合	c=1 d=1 t=1331
bu shu 	部署	c=1 d=1 t=713
bu shuo 	不說	c=1 d=1 t=2097
bu xiang 	不想	c=1 d=1 t=2344
bu xing 	不行	c=3 d=1.07547 t=1378
bu xu yao 	不需要	c=2 d=1.2982 t=2434
bu yao 	不要	c=1 d=1 t=951
bu yi yang 	不一樣	c=1 d=1 t=1377
bu ying xiang 	不影響	c=1 d=1 t=2258
bu yong 	不用	c=0 d=0.1 t=2430
bu zai hu 	不在乎	c=1 d=1 t=1902
bu zen me 	不怎麼	c=1 d=1 t=1183
bu zha shi 	不紮實	c=1 d=1 t=1016
bu zhao 	補招	c=1 d=1 t=1533
bu zhe teng 	不折騰	c=1 d=1 t=505
bu zhi dao 	不知道	c=2 d=1.1367 t=1333
bug 	BUG	c=1 d=1 t=924
cai 	才	c=2 d=0.280832 t=2558
cai 	裁	c=1 d=1 t=1248
cai wu 	財務	c=2 d=1.25538 t=2419
cai xing 	才行	c=1 d=1 t=774
cai yuan 	裁員	c=1 d=1 t=1194
can jia 	參加	c=2 d=1.009 t=1472
can shu 	參數	c=1 d=0.400517 t=2558
cang 	藏	c=1 d=1 t=2015
cao 	曹	c=0 d=0.0240508 t=2558
cao 	槽	c=1 d=1 t=1373
cao ying jun 	曹英俊	c=1 d=0.241714 t=2558
cao zuo 	操作	c=4 d=3.77054 t=2209
ce 	測	c=1 d=1 t=2547
ce shi 	測試	c=2 d=0.690734 t=2558
ceng 	蹭	c=1 d=1 t=1669
cha dian 	差點	c=1 d=1 t=563
cha kan 	查看	c=1 d=1 t=2385
cha le 	差了	c=1 d=0.913931 t=2558
chai 	拆	c=1 d=0.308819 t=2558
chan pin 	產品	c=1 d=1 t=2068
chang bei 	常備	c=2 d=1.13111 t=2558
chang yuan 	長遠	c=1 d=1 t=1911
chao 	抄	c=2 d=1.93707 t=2128
che 	撤	c=1 d=0.246597 t=2558
chen shu 	陳叔	c=1 d=1 t=531
cheng 	撐	c=1 d=0.336216 t=2558
chong qi 	重啓	c=1 d=1 t=1171
chong tu 	衝突	c=1 d=1 t=2291
chong xin 	重新	c=3 d=1.75624 t=2030
chou 	瞅	c=1 d=1 t=2438
chu 	出	c=2 d=1.00129 t=1841
chu chai 	出差	c=1 d=0.324652 t=2558
chu hu yi liao 	出乎意料	c=1 d=1 t=1891
chu lai 	出來	c=1 d=1 t=1670
chu le 	除了	c=2 d=1.0542 t=2314
chuan 	穿	c=1 d=1 t=1849
chuan tong 	傳統	c=1 d=1 t=1690
chuan wa 	船襪	c=1 d=1 t=1850
ci 	詞	c=1 d=1 t=612
cong 	從	c=1 d=1 t=2374
cong lai 	從來	c=1 d=1 t=2404
cuo wu 	錯誤	c=2 d=1.54607 t=1418
da 	打	c=2 d=0.985112 t=2558
da bu fen 	大部分	c=2 d=1.00265 t=2325
da er quan 	大而全	c=1 d=1 t=2152
da gai 	大概	c=1 d=1 t=711
